user_age,income,employment_status,credit_score,loan_amount,loan_term,existing_debt,loan_to_income_ratio,payment_history,num_of_defaults,savings_balance
59,532831,Self-employed,403,152023,21,201146,0.3775043118737461,Good,1,159849.3
49,277541,Employed,660,658667,14,61021,0.21986301123077312,Good,1,83262.3
35,5211,Unemployed,315,82388,5,182854,35.09000191901746,Bad,6,1563.3
28,510329,Self-employed,631,879200,20,232979,0.45652706391367137,Bad,6,153098.69999999998
41,28244,Unemployed,408,823860,19,25642,0.9078742387763773,Bad,9,8473.199999999999
59,13169,Unemployed,338,241779,21,342147,25.981243830207305,Average,3,3950.7
39,27104,Unemployed,473,880453,17,124714,4.601313459268004,Average,3,8131.2
43,306735,Employed,753,906850,5,1205,0.003928472459940991,Average,3,92020.5
31,5727,Unemployed,411,208846,12,356089,62.17723066177754,Bad,8,1718.1
31,48822,Self-employed,471,696335,9,13442,0.27532669698086926,Good,0,14646.6
44,395543,Employed,677,134212,10,354970,0.8974245530827243,Average,4,118662.9
56,395732,Self-employed,806,944346,18,223716,0.5653219855862048,Bad,9,118719.59999999999
44,159591,Self-employed,826,814853,15,399907,2.5058242632729915,Average,5,47877.299999999996
23,235603,Employed,818,790140,10,39909,0.16939088211949763,Good,1,70680.9
42,377949,Self-employed,507,923134,15,282648,0.7478469317288841,Good,0,113384.7
22,164912,Self-employed,629,414811,17,96698,0.5863612108275928,Bad,7,49473.6
44,643655,Employed,804,602309,16,237104,0.3683712547871142,Good,0,193096.5
50,418841,Self-employed,815,161380,6,181402,0.4331046865039478,Bad,9,125652.29999999999
58,25539,Unemployed,354,46789,7,88087,3.4491170366889854,Bad,9,7661.7
22,226711,Self-employed,526,975194,8,210991,0.9306606207903454,Bad,9,68013.3
41,14215,Unemployed,328,28086,21,214104,15.061836088638762,Bad,7,4264.5
53,344606,Self-employed,378,281003,10,42716,0.12395605416040348,Good,1,103381.8
32,186080,Employed,788,533972,11,206696,1.1107910576096303,Good,0,55824.0
42,768456,Employed,776,93088,19,179054,0.2330048825176718,Good,1,230536.8
45,554264,Self-employed,578,396423,15,159516,0.287797872493974,Good,2,166279.19999999998
47,417128,Employed,685,572387,7,173817,0.4166994303906714,Bad,9,125138.4
48,195861,Self-employed,457,987000,10,35571,0.1816134912003921,Bad,7,58758.299999999996
36,281666,Employed,680,592381,6,224023,0.7953498114788438,Good,2,84499.8
35,12526,Unemployed,483,162761,18,356424,28.45473415296184,Average,5,3757.7999999999997
23,962004,Self-employed,765,837083,13,216290,0.22483274497819136,Average,4,288601.2
57,12830,Unemployed,489,540181,22,46038,3.5883086515978175,Average,5,3849.0
27,12910,Unemployed,317,493024,23,73795,5.7161115414407435,Good,2,3873.0
41,55248,Self-employed,316,592706,16,308312,5.580509701708659,Bad,7,16574.399999999998
29,14746,Unemployed,369,127074,17,210154,14.251593652515936,Bad,9,4423.8
59,46954,Self-employed,845,891497,16,68690,1.4629211568769434,Average,3,14086.199999999999
38,5595,Unemployed,452,132351,16,377197,67.41680071492404,Average,3,1678.5
24,569931,Self-employed,501,717371,22,12230,0.021458737987580953,Bad,8,170979.3
45,943327,Self-employed,822,40635,13,346445,0.3672586494396959,Average,5,282998.1
34,751754,Employed,717,975619,21,137974,0.18353610356579414,Average,3,225526.19999999998
29,554308,Self-employed,521,97071,20,329902,0.5951600915014758,Bad,8,166292.4
46,876806,Self-employed,306,997909,21,28050,0.03199111319949909,Average,3,263041.8
22,29290,Unemployed,315,467918,12,362949,12.391567087743256,Average,4,8787.0
40,858415,Self-employed,823,866950,15,206658,0.24074369623084405,Good,2,257524.5
48,688210,Employed,740,370377,6,332254,0.48277996541753243,Average,4,206463.0
27,16953,Unemployed,470,892083,12,365177,21.54055329440217,Good,0,5085.9
28,28535,Unemployed,316,599093,16,77693,2.722726476257228,Bad,9,8560.5
55,498255,Employed,796,978458,5,385572,0.7738447180660505,Good,0,149476.5
34,20493,Unemployed,326,423280,17,20575,1.004001366320207,Bad,7,6147.9
37,37408,Unemployed,365,911245,21,191012,5.106180496150556,Good,2,11222.4
56,39440,Unemployed,391,343207,18,303388,7.692393509127789,Good,1,11832.0
24,9532,Unemployed,360,266598,18,278106,29.176038606798155,Good,1,2859.6
22,78037,Employed,758,285022,20,232898,2.9844560913412868,Average,5,23411.1
26,122115,Employed,602,184170,21,257551,2.10908569790771,Average,3,36634.5
24,18280,Unemployed,354,195226,10,363839,19.903665207877463,Average,4,5484.0
49,9864,Unemployed,400,146063,11,249435,25.287408759124087,Average,4,2959.2
38,653813,Employed,800,594632,5,248943,0.38075565949285195,Average,3,196143.9
46,253457,Employed,736,893378,19,91388,0.36056609207873525,Good,1,76037.09999999999
54,45385,Employed,620,562881,22,228292,5.030120083728104,Average,3,13615.5
30,36225,Unemployed,481,562592,17,78332,2.1623740510697034,Bad,8,10867.5
56,8782,Unemployed,345,425602,6,185566,21.130266454110682,Good,0,2634.6
34,513670,Self-employed,842,712580,23,390530,0.7602741059435045,Good,0,154101.0
51,603399,Employed,814,115613,19,308181,0.5107416485609025,Bad,7,181019.69999999998
35,24049,Unemployed,316,726698,16,113666,4.726433531539773,Average,3,7214.7
28,734397,Employed,731,489505,19,128048,0.17435801072172136,Bad,6,220319.1
34,8513,Unemployed,323,416299,22,263072,30.902384588276753,Good,1,2553.9
43,729500,Employed,690,544642,18,346184,0.4745496915695682,Good,0,218850.0
41,19837,Unemployed,390,286334,10,112264,5.6593234864142765,Good,1,5951.099999999999
36,170912,Self-employed,486,532430,16,162113,0.9485173656618611,Bad,8,51273.6
38,822439,Self-employed,637,423614,10,273859,0.3329839659841034,Average,3,246731.69999999998
44,148637,Employed,536,185043,13,324870,2.185660367203321,Good,2,44591.1
46,31393,Unemployed,436,830294,8,396124,12.618226993278757,Average,3,9417.9
45,27754,Unemployed,363,710770,21,381352,13.740433811342509,Good,0,8326.199999999999
49,920695,Employed,681,152575,6,169147,0.18371664883593372,Average,5,276208.5
35,10993,Unemployed,385,127438,20,196659,17.889475120531248,Bad,8,3297.9
21,123650,Employed,552,574744,18,316792,2.5620056611403155,Good,1,37095.0
45,21138,Unemployed,330,626455,12,22134,1.0471189327277888,Good,1,6341.4
27,288480,Employed,599,870467,18,247257,0.8571027454242929,Good,2,86544.0
29,17886,Unemployed,446,796448,6,319287,17.85122442133512,Bad,6,5365.8
44,636603,Employed,514,266528,20,70123,0.11015185288162324,Bad,7,190980.9
21,34086,Unemployed,470,195392,8,177225,5.199348706213695,Average,3,10225.8
28,130604,Self-employed,762,410288,5,134485,1.0297157820587424,Bad,9,39181.2
44,23033,Unemployed,406,104239,18,222646,9.666391698866843,Good,1,6909.9
31,421065,Employed,629,637719,12,154627,0.367228337667581,Average,4,126319.5
37,844763,Self-employed,570,868450,7,201065,0.23801350201180685,Bad,7,253428.9
28,34059,Unemployed,349,566798,9,384801,11.298070994450805,Average,5,10217.699999999999
55,843821,Self-employed,358,706293,10,67686,0.08021369461058685,Average,3,253146.3
55,35297,Unemployed,414,810258,12,375985,10.652038416862624,Average,5,10589.1
53,288466,Self-employed,803,332170,10,33264,0.11531341648582502,Good,1,86539.8
25,633841,Employed,622,123668,10,237830,0.37522028395133794,Good,2,190152.3
59,33295,Unemployed,456,768988,8,186431,5.599369274665865,Bad,8,9988.5
48,16492,Unemployed,317,420734,11,373029,22.61878486538928,Good,2,4947.599999999999
27,671462,Employed,549,550333,23,230394,0.34312291685903296,Average,3,201438.6
29,549653,Self-employed,417,183948,11,141880,0.2581264907132318,Average,5,164895.9
28,293881,Employed,690,487662,7,53330,0.18146800916017028,Good,2,88164.3
32,188571,Employed,822,616390,12,115672,0.613413515333747,Average,5,56571.299999999996
54,133692,Self-employed,377,316063,5,301489,2.2551012775633548,Good,2,40107.6
53,420555,Employed,574,625729,5,40222,0.0956402848616709,Average,5,126166.5
43,5294,Unemployed,324,160175,18,58755,11.098413298073291,Bad,8,1588.2
44,29596,Unemployed,437,251877,10,272077,9.193032842275983,Bad,8,8878.8
57,16434,Unemployed,314,955692,14,331351,20.16252890349276,Good,1,4930.2
55,330242,Employed,547,138917,18,175811,0.5323702012463587,Good,2,99072.59999999999
42,22493,Unemployed,448,219770,8,179810,7.99404259102832,Good,2,6747.9
47,8771,Unemployed,415,956178,10,367835,41.93763538935127,Good,0,2631.2999999999997
55,22558,Unemployed,440,644613,20,106137,4.705071371575494,Good,1,6767.4
21,31567,Unemployed,308,545625,5,216616,6.862102828903602,Average,5,9470.1
55,37376,Unemployed,414,679673,10,361962,9.684342893835616,Bad,9,11212.8
57,26922,Unemployed,400,946447,13,361654,13.433400193150582,Average,3,8076.599999999999
34,583620,Employed,645,342093,19,100251,0.17177444227408245,Bad,8,175086.0
23,28495,Unemployed,380,788708,16,147452,5.174662221442358,Average,5,8548.5
21,31849,Unemployed,305,315295,7,281356,8.83406072404157,Average,5,9554.699999999999
25,658525,Self-employed,366,937115,15,291318,0.44237956038115483,Average,5,197557.5
46,394939,Employed,599,669304,19,138166,0.349841367907449,Good,2,118481.7
34,655675,Employed,736,841319,7,105649,0.16113013306897472,Bad,9,196702.5
59,523377,Employed,757,607730,18,52319,0.09996427049717507,Good,0,157013.1
47,703166,Employed,836,51847,6,178800,0.25427850607111263,Good,2,210949.8
29,23653,Unemployed,455,60653,8,88846,3.7562254259501966,Average,3,7095.9
35,26133,Unemployed,471,743432,23,171372,6.557685684766387,Bad,8,7839.9
35,423973,Self-employed,715,779949,16,55808,0.13163102367367732,Bad,9,127191.9
46,835445,Self-employed,625,320766,6,212177,0.25396884295195976,Bad,6,250633.5
33,437922,Employed,843,291954,21,43616,0.09959764524276013,Bad,9,131376.6
52,557197,Self-employed,582,79842,7,337473,0.6056619113168233,Good,1,167159.1
